Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
renewable	1	6770	684	609	75	1	844.824	1.898
transition	2	7280	706	129	577	1	827.149	1.839
clean	        3	4070	388	330	58	1	442.569	1.814
new	        4	7580	471	367	104	1	261.981	1.197
security	5	1460	159	24	135	1	214.095	2.006
storage	        6	3220	228	42	186	1	163.349	1.385
green	        7	8870	451	330	121	1	152.617	0.907
sources	        8	1460	137	35	102	1	152.477	1.791
consumption	9	2340	179	42	137	1	146.582	1.497
administration	10	1180	108	21	87	1	116.100	1.755
country	        11	7480	338	197	141	1	77.984	0.737
agency	        12	570	59	47	52	1	74.563	1.933
climate	        13	7070	87	39	48	1	73.790	-1.140
emissions	14	4190	42	24	18	1	60.999	-1.435
fossil	        15	1980	116	74	42	1	56.280	1.112
xiamen	        16	370	40	7	33	1	53.313	1.996
proportion	17	570	51	37	14	1	53.062	1.723
boqiang	        18	330	37	32	5	1	51.497	2.048
national	19	3480	168	132	36	1	48.334	0.832
ensuring	20	730	56	38	18	1	45.994	1.501
source	        21	720	55	19	36	1	44.855	1.495
nuclear	        22	540	45	33	12	1	42.159	1.620
sector	        23	3090	144	25	119	1	36.878	0.782
trade	        24	1710	13	5	8	1	34.353	-1.834
structure	25	350	32	8	24	1	34.316	1.754
hitachi	        26	180	22	19	3	1	33.760	2.173
transitions	27	250	26	4	22	1	33.040	1.940
cop	        28	1470	10	5	5	1	32.695	-1.995
tons	        29	2430	26	11	15	1	32.123	-1.341
promoting	30	890	56	38	18	1	31.775	1.215
united	        31	2130	21	7	14	1	31.690	-1.459
change	        32	3670	50	26	24	1	30.931	-0.993
development	33	9540	350	171	179	1	30.173	0.436
low	        34	3470	151	105	46	1	30.113	0.683
agreement	35	1250	8	2	6	1	29.243	-2.083
million	        36	4400	67	30	37	1	27.986	-0.832
supply	        37	4230	173	55	118	1	26.548	0.593
primary	        38	260	24	18	6	1	26.079	1.768
dioxide	        39	1170	8	3	5	1	25.904	-1.987
share	        40	1010	57	39	18	1	25.274	1.058
efficiency	41	890	52	15	37	1	25.044	1.108
eu	        42	1010	6	4	2	1	25.019	-2.190
water	        43	860	4	0	4	1	24.979	-2.543
cleaner	        44	250	23	16	7	1	24.876	1.763
china	        45	29670	946	539	407	1	24.867	0.234
throttle	46	130	16	14	2	1	24.739	2.183
sinopec	        47	1000	6	3	3	1	24.589	-2.176
head	        48	1370	70	52	18	1	23.858	0.914
global	        49	8770	315	227	88	1	23.619	0.406
oil	        50	4820	80	34	46	1	23.453	-0.708
role	        51	2240	101	71	30	1	23.013	0.734
rystad	        52	190	19	19	0	1	22.972	1.883
resources	53	1740	83	32	51	1	22.942	0.815
traditional	54	610	39	28	11	1	22.870	1.238
pivotal	        55	350	27	23	4	1	22.373	1.509
nonfossil	56	250	22	19	3	1	22.342	1.699
states	        57	1200	10	5	5	1	21.917	-1.702
secure	        58	420	30	21	9	1	21.771	1.398
summit	        59	700	3	1	2	1	21.265	-2.661
parties	        60	520	1	0	1	1	21.243	-3.817
policy	        61	1590	76	25	51	1	21.144	0.818
transformation	62	1240	63	30	33	1	21.122	0.906
shift	        63	610	38	21	17	1	21.104	1.200
financial	64	890	6	3	3	1	19.942	-2.008
amid	        65	900	49	27	22	1	19.846	1.006
titled	        66	160	16	12	4	1	19.344	1.883
