Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
transition	1	407	29	2	27	1	99.211	3.744
clean		2       253	24	23	1	1	95.484	4.157
mines		3       132	12	12	0	1	46.630	4.095
solar		4       77	7	5	2	1	27.178	4.095
invests		5       473	14	10	4	1	25.477	2.476
renewable	6	110	7	6	1	1	22.333	3.581
capacity	7	275	10	9	1	1	21.697	2.773
solar	        8       99	6	6	0	1	18.584	3.510
sources		9       33	4	4	0	1	17.837	4.510
ministry        10      22      9       2       2       1       17.678  2.889
