Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
renewable	1	5550	477	434	43	1	795.249	2.304
clean	        2	3760	307	265	42	1	484.276	2.230
bills	        3	2710	183	28	155	1	232.319	1.956
efficiency	4	890	97	15	82	1	200.988	2.647
transition	5	3930	197	48	149	1	164.557	1.526
security	6	1190	96	4	92	1	149.072	2.213
agency	        7	970	81	12	69	1	130.393	2.263
international	8	1700	90	74	16	1	81.781	1.605
crisis	        9	3930	153	31	122	1	79.305	1.162
sources	        10	1280	70	18	52	1	66.775	1.652
price	        11	2570	107	26	81	1	63.818	1.259
suppliers	12	720	47	11	36	1	57.085	1.907
oil	        13	7560	59	21	38	1	51.383	-1.157
prices	        14	3840	132	33	99	1	50.653	0.982
gb	        15	200	23	20	3	1	49.846	2.724
cap	        16	1250	61	25	36	1	48.630	1.488
iea	        17	1040	51	22	29	1	40.982	1.495
climate	        18	14290	156	86	70	1	40.782	-0.673
operator	19	360	27	3	24	1	38.675	2.108
regulator	20	440	29	7	22	1	35.641	1.921
gas	        21	16260	193	100	93	1	33.021	-0.552
department	22	350	24	21	3	1	30.965	1.978
systems	        23	520	30	8	22	1	30.898	1.729
charter	        24	120	14	2	12	1	30.705	2.745
emissions	25	7620	75	42	33	1	30.283	-0.822
costs	        26	1600	61	22	39	1	30.115	1.132
investment	27	3030	95	54	41	1	27.984	0.849
company	        28	2960	93	27	66	1	27.572	0.852
consumption	29	800	37	8	29	1	26.881	1.410
energy	        30	28430	386	193	193	1	26.719	-0.358
strategy	31	940	40	5	35	1	24.881	1.290
uk	        32	5970	158	86	72	1	24.876	0.605
enova	        33	20	6	4	2	1	24.672	4.108
cop	        34	2460	15	7	8	1	24.502	-1.513
system	        35	1560	56	13	43	1	23.969	1.045
soaring	        36	550	28	21	7	1	23.905	1.549
needs	        37	1280	48	14	34	1	22.809	1.108
mix	        38	240	17	3	14	1	22.797	2.025
secure	        39	440	24	22	2	1	22.788	1.648
companies	40	4100	113	36	77	1	21.112	0.663
guarantee	41	210	15	5	10	1	20.313	2.037
project	        42	1610	8	4	4	1	20.246	-1.808
plant	        43	1050	3	2	1	1	19.936	-2.607
owned	        44	580	27	19	8	1	19.839	1.420
