Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
clean	        1	5530	462	439	23	1	985.221	2.707
renewable	2	5820	453	420	33	1	909.171	2.605
transition	3	4270	241	77	164	1	352.160	2.141
sources	        4	2320	115	37	78	1	144.320	1.954
department	5	1040	62	23	39	1	95.855	2.220
agency	        6	2140	90	14	76	1	90.956	1.717
efficiency	7	570	44	4	40	1	87.235	2.593
crisis	        8	2040	80	17	63	1	72.957	1.616
solar	        9	8640	210	124	86	1	72.085	0.926
security	10	960	47	4	43	1	58.032	1.936
international	11	1920	70	58	12	1	56.893	1.511
projects	12	4140	115	24	91	1	55.306	1.118
experts	        13	1340	53	8	45	1	48.940	1.628
wind	        14	7540	171	92	79	1	47.637	0.826
firm	        15	1080	46	9	37	1	47.292	1.735
according	16	3310	91	64	27	1	42.711	1.103
toward	        17	1120	45	36	9	1	42.534	1.651
accelerate	18	450	27	16	11	1	42.007	2.229
bills	        19	770	36	7	29	1	41.935	1.869
research	20	1970	63	19	44	1	40.618	1.321
storage	        21	1440	51	11	40	1	39.484	1.469
independence	22	210	18	3	15	1	39.011	2.744
alliance	23	380	23	6	17	1	36.110	2.242
needs	        24	1390	48	18	30	1	35.581	1.432
energy	        25	29480	270	135	135	1	34.653	-0.482
climate	        26	16180	129	63	66	1	34.607	-0.682
secretary	27	580	28	6	22	1	33.964	1.916
jennifer	28	170	15	5	10	1	33.289	2.786
efficient	29	410	23	1	22	1	33.281	2.132
companies	30	5060	115	30	85	1	32.212	0.829
director	31	1570	50	44	6	1	31.974	1.316
based	        32	1630	51	19	32	1	31.515	1.290
investment	33	1960	57	30	27	1	30.317	1.184
costs	        34	2140	60	16	44	1	29.440	1.132
change	        35	6580	40	22	18	1	29.218	-1.074
dome	        36	160	13	0	13	1	26.935	2.667
mr	        37	15840	134	41	93	1	26.932	-0.597
forms	        38	220	15	12	3	1	26.524	2.414
system	        39	1280	41	3	38	1	26.504	1.324
gas	        40	16360	140	78	62	1	26.493	-0.580
his	        41	6570	42	22	20	1	26.177	-1.001
store	        42	540	24	23	1	1	26.150	1.796
prices	        43	2960	73	14	59	1	26.016	0.947
grid	        44	2470	64	24	40	1	25.990	1.018
sector	        45	1060	36	9	27	1	25.911	1.408
granholm	46	330	18	7	11	1	25.240	2.092
transitioning	47	300	17	10	7	1	24.872	2.147
nuclear	        48	3240	77	55	22	1	24.701	0.893
demand	        49	3020	73	21	52	1	24.594	0.918
monitor	        50	100	10	3	7	1	24.477	2.966
rystad	        51	80	9	9	0	1	24.013	3.136
intensive	52	220	14	0	14	1	23.135	2.314
greenhouse	53	2160	7	2	5	1	22.265	-1.981
shift	        54	1200	37	25	12	1	22.206	1.269
consultancy	55	70	8	1	7	1	21.583	3.159
invasion	56	710	26	12	14	1	21.268	1.517
one	        57	7210	52	18	34	1	21.170	-0.827
alternative	58	470	20	18	2	1	20.526	1.734
tripling	59	100	9	9	0	1	20.294	2.814
group	        60	2370	58	23	35	1	20.226	0.936
invested	61	480	20	14	6	1	19.923	1.703
