Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
renewable	1	10780	1043	978	65	1	914.842	1.536
transition	2	7865	622	194	428	1	375.817	1.245
clean	        3	5027	445	426	19	1	332.452	1.408
security	4	803	92	25	67	1	102.368	1.780
sources	        5	1980	151	67	84	1	83.853	1.193
energy	        6	33649	854	726	128	1	74.588	-0.394
access	        7	1342	108	60	48	1	67.005	1.270
efficiency	8	913	84	28	56	1	66.750	1.464
capacity	9	5808	295	139	156	1	47.685	0.606
sustainable	10	2387	145	117	28	1	45.068	0.865
india	        11	13409	581	448	133	1	38.409	0.377
independence	12	253	30	10	20	1	34.945	1.830
green	        13	7502	345	301	44	1	33.553	0.463
transitions	14	418	38	13	25	1	29.557	1.446
gw	        15	4488	218	160	58	1	28.479	0.542
future	        16	1804	105	70	35	1	28.470	0.803
agency	        17	572	46	14	32	1	28.468	1.269
projects	18	2750	143	60	83	1	25.505	0.640
storage	        19	1925	107	37	70	1	24.739	0.737
solutions	20	1067	67	32	35	1	22.938	0.912
conservation	21	77	13	4	9	1	22.836	2.339
plant	        22	1188	14	8	6	1	22.717	-1.501
gigawatts	23	561	41	32	9	1	20.681	1.131
needs	        24	902	57	25	32	1	19.869	0.922
