Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
energy			1	3692	1	27109.783	1.000
china			2	2967	1	21786.220	1.000
said			3	2690	1	19752.252	1.000
power			4	1584	1	11631.066	1.000
carbon			5	1040	1	7636.559	1.000
development		6	6	954	1	7005.074	1.000
percent			7	905	1	6645.275	1.000
green			8	887	1	6513.103	1.000
new			10	758	1	5565.876	1.000
solar			11	753	1	5529.162	1.000
country			12	748	1	5492.448	1.000
transition		13	13	728	1	5345.591	1.000
climate			14	707	1	5191.391	1.000
renewable		15	15	677	1	4971.106	1.000
capacity		16	16	613	1	4501.164	1.000
gas			17	590	1	4332.278	1.000
world			18	548	1	4023.879	1.000
hydrogen		19	19	524	1	3847.651	1.000
chinese			20	489	1	3590.651	1.000
wind			21	485	1	3561.280	1.000
oil			22	482	1	3539.251	1.000
countries		23	23	462	1	3392.394	1.000
industry		24	24	461	1	3385.051	1.000
company			25	456	1	3348.337	1.000
market			26	449	1	3296.937	1.000
million			27	440	1	3230.852	1.000
cooperation		28	28	426	1	3128.052	1.000
supply			29	423	1	3106.023	1.000
billion			30	421	1	3091.338	1.000
emissions		31	31	419	1	3076.652	1.000
according		32	32	416	1	3054.623	1.000
clean			33	407	1	2988.538	1.000
investment		34	34	405	1	2973.852	1.000
production		35	35	394	1	2893.081	1.000
coal			36	383	1	2812.310	1.000
international		37	37	376	1	2760.910	1.000
change			38	367	1	2694.824	1.000
projects		39	39	353	1	2592.024	1.000
technology		40	40	352	1	2584.681	1.000
national		41	41	348	1	2555.310	1.000
low			42	347	1	2547.967	1.000
growth			43	344	1	2525.939	1.000
electricity		44	44	341	1	2503.910	1.000
nuclear			45	338	1	2481.882	1.000
demand			46	335	1	2459.853	1.000
generation		47	47	332	1	2437.824	1.000
companies		48	48	322	1	2364.396	1.000
storage			49	322	1	2364.396	1.000
research		50	50	321	1	2357.053	1.000
economic		51	51	309	1	2268.939	1.000
sector			51	309	1	2268.939	1.000
total			53	304	1	2232.225	1.000
high			54	286	1	2100.054	1.000
largest			55	277	1	2033.968	1.000
grid			56	275	1	2019.282	1.000
including		57	56	275	1	2019.282	1.000
efforts			58	256	1	1879.768	1.000
project			59	253	1	1857.740	1.000
installed		60	60	248	1	1821.026	1.000
tons			61	243	1	1784.311	1.000
consumption		62	62	234	1	1718.226	1.000
sustainable		63	63	233	1	1710.883	1.000
expected		64	64	232	1	1703.540	1.000
role			65	224	1	1644.797	1.000
well			66	224	1	1644.797	1.000
technologies		67	67	221	1	1622.769	1.000
support			68	220	1	1615.426	1.000
system			69	218	1	1600.740	1.000
construction		70	70	217	1	1593.397	1.000
report			71	215	1	1578.712	1.000
united			72	213	1	1564.026	1.000
future			73	211	1	1549.340	1.000
industrial		74	73	211	1	1549.340	1.000
natural			75	210	1	1541.997	1.000
key			76	203	1	1490.597	1.000
institute		77	77	201	1	1475.912	1.000
major			78	200	1	1468.569	1.000
fossil			79	198	1	1453.883	1.000
added			80	193	1	1417.169	1.000
government		81	80	193	1	1417.169	1.000
increase		82	80	193	1	1417.169	1.000
help			83	192	1	1409.826	1.000
neutrality		84	84	190	1	1395.141	1.000
between			85	189	1	1387.798	1.000
recent			86	189	1	1387.798	1.000
these			87	188	1	1380.455	1.000
president		88	88	185	1	1358.426	1.000
potential		89	89	184	1	1351.083	1.000
they			90	182	1	1336.398	1.000
domestic		91	91	179	1	1314.369	1.000
should			92	179	1	1314.369	1.000
developing		93	93	178	1	1307.026	1.000
fuel			94	178	1	1307.026	1.000
only			95	177	1	1299.684	1.000
corp			96	176	1	1292.341	1.000
products		97	96	176	1	1292.341	1.000
made			98	174	1	1277.655	1.000
resources		99	98	174	1	1277.655	1.000
state			100	174	1	1277.655	1.000
